Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
c1ccc(-c2ccc3ccccc23)cc1,33,20.754716981132077,16,84.21052631578947,0.4462453,0.44621310000000003,0.4540221,"['CCN(CC)c1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)cc1', 'COCc1ccc(-c2oc(-c3ccc(O)cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccccc3)c3ccc(Cl)cc23)cc1O', 'COC(=O)c1cc(-c2oc(-c3ccccc3)c3ccccc23)oc1OC', 'COc1ccc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1', 'CC(C)(C)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CC(C)(C)c1ccc(-c2oc(-c3ccc(C#N)cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)cc1OC', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)o1', 'COc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1OO', 'COC(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'COc1cc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)oc1OC', 'CCCc1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CC(=O)N(Cc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)o1)c1ccc(C)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1', 'CCOC(=O)c1cc(-c2oc(-c3ccccc3)c3ccccc23)oc1OCC']",15,-0.007808999999999955,320
c1ccc(-c2cc(-c3ccccc3)c3ccccc23)cc1,22,13.836477987421384,11,57.89473684210527,0.4462453,0.4495773,0.4455058,"['CCN(CC)c1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)cc1', 'COCc1ccc(-c2oc(-c3ccc(O)cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccccc3)c3ccc(Cl)cc23)cc1O', 'COc1ccc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1', 'CC(C)(C)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CC(C)(C)c1ccc(-c2oc(-c3ccc(C#N)cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)cc1OC', 'COc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1OO', 'COC(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CCCc1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1']",21,0.004071500000000006,320
c1ccccc1,16,10.062893081761008,13,68.42105263157895,0.4462453,0.448781,0.44621310000000003,"['CCN(CC)c1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)cc1', 'COCc1ccc(-c2oc(-c3ccc(O)cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccccc3)c3ccc(Cl)cc23)cc1O', 'COc1ccc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)cc1', 'CC(C)(C)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CC(C)(C)c1ccc(-c2oc(-c3ccc(C#N)cc3)c3ccccc23)cc1', 'COc1ccc(-c2oc(-c3ccc(Br)cc3)c3ccccc23)cc1OC', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)o1', 'COc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1OO', 'COC(=O)c1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CCCc1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1', 'CC(=O)N(Cc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)o1)c1ccc(C)cc1', 'CCOC(=O)c1ccc(-c2oc(-c3ccc(N)cc3)c3ccccc23)cc1']",6,0.0025678999999999563,320
c1ccc(-c2ccc3ccccc23)c1,10,6.289308176100629,5,26.31578947368421,0.4462453,0.4448307,0.4517997,"['COC(=O)c1cc(-c2oc(-c3ccccc3)c3ccccc23)oc1OC', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)o1', 'COc1cc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)oc1OC', 'CC(=O)N(Cc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)o1)c1ccc(C)cc1', 'CCOC(=O)c1cc(-c2oc(-c3ccccc3)c3ccccc23)oc1OCC']",14,-0.006969000000000003,320
c1ccc(-c2cc(-c3cccc3)c3ccccc23)cc1,10,6.289308176100629,5,26.31578947368421,0.4462453,0.4448307,0.4517997,"['COC(=O)c1cc(-c2oc(-c3ccccc3)c3ccccc23)oc1OC', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)o1', 'COc1cc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)oc1OC', 'CC(=O)N(Cc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)o1)c1ccc(C)cc1', 'CCOC(=O)c1cc(-c2oc(-c3ccccc3)c3ccccc23)oc1OCC']",20,-0.006969000000000003,320
C=C1CC=CC1=Cc1cccc1,4,2.515723270440252,2,10.526315789473683,0.4462453,0.4723485,0.4461809,"['O=C1OC(c2ccccc2)=NC1=Cc1ccc[nH]1', 'O=C1OC(c2ccc(Cl)cc2)=NC1=Cc1ccco1']",12,0.026167600000000013,320
c1cccc1,4,2.515723270440252,4,21.052631578947366,0.4462453,0.4455058,0.4495773,"['COC(=O)c1cc(-c2oc(-c3ccccc3)c3ccccc23)oc1OC', 'CCC(=O)Oc1ccc(-c2oc(-c3ccc(OC)cc3)c3ccccc23)o1', 'COc1cc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)oc1OC', 'CCOC(=O)c1cc(-c2oc(-c3ccccc3)c3ccccc23)oc1OCC']",5,-0.004071500000000006,320
C=C1CC(c2ccccc2)=CC1=Cc1cccc1,3,1.8867924528301887,2,10.526315789473683,0.4462453,0.4723485,0.4461809,"['O=C1OC(c2ccccc2)=NC1=Cc1ccc[nH]1', 'O=C1OC(c2ccc(Cl)cc2)=NC1=Cc1ccco1']",18,0.026167600000000013,320
c1ccc(CCc2cccc2)cc1,3,1.8867924528301887,1,5.263157894736842,0.4462453,0.3662149,0.44751315,['CC(=O)N(Cc1ccc(-c2oc(-c3ccc(F)cc3)c3ccccc23)o1)c1ccc(C)cc1'],13,-0.08129825000000002,320
c1ccc(-c2ccccc2)cc1,2,1.257861635220126,1,5.263157894736842,0.4462453,0.0028212,0.44751315,['CC(C)c1ccc(C(=O)O)c(-c2ccccc2)n1'],12,-0.44469195,320
