Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
C1=CCCC1,2,2.0202020202020203,2,3.8461538461538463,0.00658505,0.0167962,0.00628545,"['CN(CCOC1(O)C(=O)C=CC1OC(=O)c1ccccc1)c1ccccc1', 'CCC(Cc1ccccc1)OC(=O)C1(O)CC(=O)C=C1C(=O)c1ccccc1O']",5,0.010510750000000001,10
c1ccc2c(c1)COCO2,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0031669,0.0066953,['NC(=O)C1(C2OC(=O)c3ccccc3O2)CSCC1=O'],10,-0.0035284000000000005,10
c1ccc2c(c1)COC2,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0006791,0.0066953,['O=C1CCC(CC2OC(=O)c3ccccc32)CCO1'],9,-0.0060162,10
C1CCCOCC1,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0006791,0.0066953,['O=C1CCC(CC2OC(=O)c3ccccc32)CCO1'],7,-0.0060162,10
C1=CCSC1,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0109374,0.0064748,['O=COC(C1=CCSC1)c1ccccc1-c1ccccc1C=O'],5,0.0044626,10
C1CC[N+]CC1,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.00017,0.0066953,['CC[N+]1(C)CCC(=O)C(C)(c2ccccc2)C1=O'],6,-0.0065253,10
C1COCN1,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0002937,0.0066953,['O=C1CCC(C2(Cc3ccccc3)NCCO2)C(=O)O1'],5,-0.0064016,10
C1=CC2CCCCc3ccccc3C2C1,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0,0.0066953,['O=C1CCC2C=CC(=O)C2c2ccccc2C1=O'],15,-0.0066953,10
c1ccc2c(c1)CCSCN2,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0018315,0.0066953,['O=CC1CSC(=O)Nc2ccccc21'],11,-0.004863800000000001,10
C1=CCCCC1,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0541317,0.0064748,['O=C1C=CC(=Cc2ccccc2O)CC1'],6,0.047656899999999995,10
c1ccc2c(c1)CCCCC2,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0136959,0.0064748,['O=C(O)C(=O)CC1CC(=O)C(O)C(O)c2ccccc21'],11,0.0072211,10
c1ccc2c(c1)CNCCO2,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0004396,0.0066953,['NC(=O)C1(c2ccccc2)NCCOc2ccccc21'],11,-0.0062557,10
c1ccc2c(c1)CCCSCCN2,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0,0.0066953,['COC(=O)C1(C2(C)CSC(=O)C2(C)O)CSC(=O)C(=O)Nc2ccccc2C1'],13,-0.0066953,10
c1ccc2c3c(ccc2c1)CCCC3,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0,0.0066953,['O=C1CCc2c(ccc3ccccc23)C1=O'],14,-0.0066953,10
c1cnc2c(c1)CCCO2,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0064748,0.0066953,['O=C1CCC(C2CC(=O)c3cccnc3O2)C(=O)O1'],10,-0.0002205000000000002,10
c1ccc2c(c1)CCN2,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.1080789,0.0064748,['O=C1COC(=C2C(=O)c3ccccc3N2CCc2ccccc2)C1'],9,0.1016041,10
C1=CCC2NCC=C2C1,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0006974,0.0066953,['COC(=O)CC1=CCC2=CC(=O)NC2C1c1ccccc1'],9,-0.0059979000000000005,10
C1CCCC1,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0023843,0.0066953,['CCC1(OC(=O)c2ccccc2C)CCC(=O)C1C'],5,-0.004311000000000001,10
c1ccc2c(c1)CCCSS2,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0042445,0.0066953,['CC1C(=O)C(CC(C)(C)C)SS(=O)(=O)c2ccccc21'],11,-0.0024508000000000004,10
C1CCCCC1,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0026552,0.0066953,['O=C1CCC(C2(C(=O)O)c3ccccc3C(=O)N2O)CC1'],6,-0.0040401000000000005,10
c1ccc2c(c1)CNC2,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0026552,0.0066953,['O=C1CCC(C2(C(=O)O)c3ccccc3C(=O)N2O)CC1'],9,-0.0040401000000000005,10
C1CNCNC1,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0173946,0.0064748,['O=CN1C(=S)N(Cc2ccccc2)C(=O)C(F)(F)C1c1cccc([N+](=O)[O-])c1'],6,0.0109198,10
c1ccc2c(c1)CCO2,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0026802,0.0066953,['O=C1CCC(=C2Oc3ccccc3C2CCO)C(=O)O1'],9,-0.004015100000000001,10
c1cc2c(o1)COCCC2,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0387231,0.0064748,['CCC(O)C1COC(=O)c2oc(-c3ccccc3)c(O)c2C1'],10,0.0322483,10
C1=Cc2ccccc2CC1,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0495767,0.0064748,['O=CC1=Cc2ccccc2C(=O)C1c1ccc(Cl)cc1'],10,0.0431019,10
C1CCC2=C(C1)CCOC2,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0093631,0.0064748,['CC1CCC(=O)C2=C1CCOC2c1ccccc1'],10,0.002888299999999999,10
C1COCO1,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0052442,0.0066953,['NC(=O)C1(CC(=O)c2ccccc2)COCO1'],5,-0.0014511000000000003,10
C1CO1,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0005557,0.0066953,['O=C(Nc1ccccc1)C1OC1(O)C(=O)Nc1ccccc1'],3,-0.0061396,10
c1ccc2[nH]ccc2c1,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.018847,0.0064748,['O=C1COC(=Cc2c[nH]c3ccccc23)CC1O'],9,0.0123722,10
c1ccc2c(c1)NCS2,1,1.0101010101010102,1,1.9230769230769231,0.00658505,0.0118806,0.0064748,['O=CN1c2ccccc2SC1C(=O)c1ccc(O)cc1'],9,0.0054058,10
c1ccccc1,52,49.056603773584904,39,78.0,0.00341505,0.0036452,0.0004399,"['O=C1CCc2oc(-c3ccccc3)c(O)c(=O)c2C1', 'O=C1OC(=Cc2ccccc2)C(=O)C1O', 'O=C1c2ccccc2C(=O)C1(O)Cc1ccccc1', 'O=C1OC(c2ccc(CO)cc2)c2ccccc2C(=O)C1Cl', 'O=CC1CC(=O)OC(c2ccccc2)C1SCc1ccc(Cl)cc1', 'O=C(COC(=O)c1ccccc1)Nc1ccccc1', 'O=C1C(=O)C(c2ccc(Cl)cc2)C(=O)c2ccccc21', 'O=C1OC(Cc2ccccc2)C(=O)c2ccccc21', 'O=C1CCC(C2(CC(=O)c3ccccc3)CCCC(=O)O2)C(=O)N1', 'O=c1c2ccccc2cc(CO)n1CCOCc1ccccc1', 'O=C(Cc1ccccc1)OCC(=O)c1ccccc1', 'O=C1OC(=Cc2ccccc2)C(=O)C1c1ccc(O)cc1', 'O=CC1(OC(=O)C(F)(F)C(F)c2ccccc2Br)CC1c1ccccc1', 'O=C(CC(C=CC(F)(F)F)C(=O)c1ccccc1)Nc1ccccc1', 'COCC1=Cc2ccccc2C(=O)C1(O)S(=O)(=O)c1ccc(C)cc1', 'O=C1OC(Cc2coc(-c3ccccc3)n2)CC1(O)O', 'O=C1CC2(CC(=O)N(Cc3ccccc3)O2)OC(=O)C1=O', 'CCOC(=O)C1=CCC(=O)N1c1ccccc1', 'O=c1c2ccccc2[nH]c(=S)n1CCc1ccc(O)cc1', 'O=CSC1c2ccccc2C(=O)C1c1ccc(Cl)cc1', 'O=C(OC12C(=O)OCCC1C(=O)c1ccccc1OC21CC1)c1ccccc1', 'COC(=O)C1(C)CCC2(c3ccccc3O)COC1C(=O)c1ccc(-c3ccccc3)cc12', 'O=C(OCCN1C(=O)c2ccccc2C1=O)c1ccc([N+](=O)[O-])cc1', 'CNC(=S)Nc1ccccc1NC(=S)c1ccco1', 'CC1(C)OC(=S)CC1(O)C(=O)N(Cc1ccccc1)c1ccccc1C=O', 'O=C(O)c1ccc(C(=O)O)c(C=Cc2ccccc2)c1O', 'CC(C)(C)C(C)(OC(=O)c1ccccc1[N+](=O)[O-])c1ccccc1', 'O=C1Cc2ccccc2C(=O)N1CC(Br)C(F)c1ccccc1', 'O=C1OCC(CC(=O)c2ccccc2)C(=O)O1', 'O=C(Nc1ccccc1F)c1ccc(Br)cc1', 'CCOc1ccc(C2OC(=O)CCC2CC)cc1', 'S=C(Nc1ccccc1)n1nnc2ccccc21', 'O=C1CCC(=Cc2ccccc2)CC1', 'O=C1CCC(C(CCC(=O)c2ccccc2)OC(=O)OC(CBr)c2ccccc2)C1', 'O=C1CC(=O)C(O)(c2ccccc2)c2ccccc21', 'Cc1ccc(C2CC(=O)N(Cc3ccccc3)C2=O)cc1', 'O=C1OC(Cc2ccccc2)c2ccccc21', 'O=C(CC12CCCC(=O)C1C(=O)CC2)c1ccccc1', 'CCC1(O)CCOC(=O)NC1Cc1ccccc1']",6,0.0032053,20
C1CCOC1,5,4.716981132075472,5,10.0,0.00341505,0.0021672,0.0034858,"['O=C1OC(=Cc2ccccc2)C(=O)C1O', 'O=C1OC(=O)C(c2ccoc2)C1Cc1ccco1', 'O=C1OC(=Cc2ccccc2)C(=O)C1c1ccc(O)cc1', 'O=C1OC(Cc2coc(-c3ccccc3)n2)CC1(O)O', 'CC1(C)OC(=S)CC1(O)C(=O)N(Cc1ccccc1)c1ccccc1C=O']",5,-0.0013185999999999996,20
