Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
O=C1OCCOc2cc(-c3ccccc3)oc21,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.0291322,0.4443363,['COC1COC(=O)c2oc(-c3ccccc3)c(O)c2O1'],17,-0.4152041,400
O=C1OC=NC1=Cc1ccccc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4101015,0.4443363,['O=C1OC(c2ccco2)=NC1=Cc1ccccc1'],13,-0.03423480000000001,400
O=C1OCCOc2ccoc21,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.0291322,0.4443363,['COC1COC(=O)c2oc(-c3ccccc3)c(O)c2O1'],11,-0.4152041,400
*c1cc2c(o1)C(=O)OCCO2,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.0291322,0.4443363,['COC1COC(=O)c2oc(-c3ccccc3)c(O)c2O1'],12,-0.4152041,400
c1cc2c(o1)COCCO2,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.0291322,0.4443363,['COC1COC(=O)c2oc(-c3ccccc3)c(O)c2O1'],10,-0.4152041,400
COC1COC(=O)c2oc(-c3ccccc3)c(O)c2O1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.0291322,0.4443363,['COC1COC(=O)c2oc(-c3ccccc3)c(O)c2O1'],20,-0.4152041,400
N#Cc1ccc(-c2oc(-c3ccccc3)c3ccccc23)o1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4671906,0.44170805,['N#Cc1ccc(-c2oc(-c3ccccc3)c3ccccc23)o1'],22,0.025482549999999993,400
O=C(CBr)Oc1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.460313,0.44170805,['O=C(CBr)Oc1ccc(-c2oc(-c3ccc(Cl)cc3)c3ccccc23)cc1'],27,0.01860495000000001,400
COS(=O)(=O)c1ccco1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4433232,0.44272115,['COS(=O)(=O)c1ccc(-c2oc(-c3ccccc3)c3ccc(Br)cc23)o1'],10,0.0006020499999999651,400
CCC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.472763,0.44170805,['CCC(=O)Oc1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1'],26,0.03105494999999997,400
CCC(=O)Oc1ccc(-c2oc(-c3ccc(N(C)C)cc3)c3ccccc23)cc1,1,0.43859649122807015,1,3.7037037037037033,0.4433232,0.4300065,0.4443363,['CCC(=O)Oc1ccc(-c2oc(-c3ccc(N(C)C)cc3)c3ccccc23)cc1'],29,-0.014329800000000004,400
